id, version, round, trial, timestamp, game_timestamp, mouse_x, mouse_y, color, position, animation_duration, rt_start_timestamp, rt_end_timestamp, rt, hit
8893, BL, 0, 1, 16:17:02.259, 9.462251, 2.963, 0.088, Red, Right, 0.4, 8.795584, 9.462251, 0.666667, 1
8893, BL, 0, 2, 16:17:05.879, 12.46225, -0.060, -2.817, Red, Bottom, 0.4, 11.62892, 12.46225, 0.833333, 1
8893, BL, 0, 3, 16:17:09.030, 15.12892, 2.793, -0.063, Blue, Right, 2, 14.29558, 15.12892, 0.833334, 1
8893, BL, 0, 4, 16:17:14.157, 19.42892, 0.025, -2.609, Blue, Bottom, 2, 18.76225, 19.42892, 0.666666, 1
8893, BL, 0, 5, 16:17:19.521, 24.02892, -0.068, -2.689, Red, Bottom, 0.4, 23.32892, 24.02892, 0.7000008, 1
8893, BL, 0, 6, 16:17:22.945, 26.92892, 0.143, -2.772, Red, Bottom, 0.4, 26.16225, 26.92892, 0.7666664, 1
8893, BL, 0, 7, 16:17:26.080, 29.56225, -2.573, -0.070, Blue, Left, 2, 28.82892, 29.56225, 0.7333336, 1
8893, BL, 0, 8, 16:17:31.269, 34.02892, -0.017, 2.554, Red, Top, 0.4, 33.29559, 34.02892, 0.7333298, 1
8893, BL, 0, 9, 16:17:34.448, 36.72892, -0.109, 2.730, Red, Top, 0.4, 35.99558, 36.72892, 0.7333336, 1
8893, BL, 0, 10, 16:17:37.458, 39.29559, -2.791, 0.105, Red, Left, 0.4, 38.56225, 39.29559, 0.7333336, 1
